genenames,Control Mean,Treatment Mean,Log2FC
ENSG00000000419,4.55790854789492,4.841968732407805,0.28406018451288517
ENSG00000000457,4.822659348587301,4.419914935057394,-0.4027444135299074
ENSG00000000460,3.5342702698293467,3.440578714078149,-0.0936915557511977
ENSG00000000938,2.832805563251261,6.8326354869301,3.9998299236788384
ENSG00000000971,3.3110652669719043,3.264551024206908,-0.04651424276499627
ENSG00000001036,3.3602354849981024,3.2229646452403324,-0.13727083975777
ENSG00000001084,4.562349265105986,4.802921592489032,0.24057232738304535
ENSG00000001167,6.1107718201462315,6.2198717011295725,0.109099880983341
ENSG00000001460,3.2008554282784187,3.0405619221266798,-0.16029350615173898
ENSG00000001461,6.708055956718472,6.260962469708987,-0.4470934870094849
ENSG00000001497,6.011280075134692,5.89379298349487,-0.11748709163982252
ENSG00000001561,4.02137865647517,4.776087017317897,0.7547083608427272
ENSG00000001629,5.728568884851592,5.761436577150872,0.03286769229927966
ENSG00000001631,5.329665770113339,5.214909919980448,-0.11475585013289091
ENSG00000002016,4.075775682277798,3.860225009560801,-0.21555067271699713
ENSG00000002330,3.672420540568372,3.572850691643731,-0.09956984892464105
ENSG00000002549,5.077592733327458,5.241532088281326,0.16393935495386724
ENSG00000002586,7.331777282953524,7.613491677214223,0.2817143942606988
ENSG00000002587,0.0,0.0,0.0
ENSG00000002726,0.0,0.06058572324783097,0.06058572324783097
ENSG00000002745,0.12416865322533417,0.0,-0.12416865322533417
ENSG00000002822,6.032352590834576,5.725091123580514,-0.30726146725406256
ENSG00000002834,7.445546089783754,7.650636517653844,0.2050904278700898
ENSG00000002919,4.333974883563305,4.5280061037867565,0.19403122022345176
ENSG00000002933,0.06192680175783309,0.06058572324783097,-0.0013410785100021194
ENSG00000003056,6.809635552571345,6.391035936561084,-0.41859961601026097
ENSG00000003137,0.0,0.0,0.0
ENSG00000003147,2.351688463473935,0.8415866092460631,-1.510101854227872
ENSG00000003249,2.8909707919086642,1.4463414687210117,-1.4446293231876526
ENSG00000003393,3.914466564728047,4.316181423031971,0.4017148583039236
ENSG00000003400,6.064073358244696,5.643877853898907,-0.4201955043457888
ENSG00000003402,7.459981955364931,7.584332180560335,0.12435022519540428
ENSG00000003509,4.2725265722723105,4.27063529893187,-0.0018912733404405913
ENSG00000003756,7.593580412581135,7.6282037809258,0.03462336834466484
ENSG00000004059,6.458735879418432,6.490534426543661,0.03179854712522889
ENSG00000004139,4.594917338420982,4.3390200982895575,-0.2558972401314241
ENSG00000004142,5.833438933584173,5.705566674308318,-0.127872259275855
ENSG00000004399,4.986091197267483,6.740539970294901,1.754448773027418
ENSG00000004455,6.395811079778645,6.211939692953632,-0.1838713868250128
ENSG00000004468,2.686988468641508,2.633027866790288,-0.05396060185121998
ENSG00000004478,5.4292485683652005,5.280982254154697,-0.1482663142105034
ENSG00000004487,5.846989014175182,5.728712079773215,-0.1182769344019663
ENSG00000004534,7.526406513899194,7.268580559679322,-0.2578259542198724
ENSG00000004660,4.009293565184697,3.4422822995318283,-0.5670112656528685
ENSG00000004700,5.712298604442781,5.46075001668968,-0.25154858775310096
ENSG00000004766,4.7315583373602434,4.659495827792922,-0.07206250956732152
ENSG00000004777,5.547188356295331,5.332686308807744,-0.2145020474875876
ENSG00000004779,4.270030942155297,4.132369880295736,-0.1376610618595615
ENSG00000004799,0.0,0.061258950056082395,0.061258950056082395
ENSG00000004864,3.441691102439293,3.2464594839168823,-0.19523161852241078
ENSG00000004866,2.202345551252357,2.5373195264346853,0.3349739751823284
ENSG00000004897,5.85843115121915,5.742680626542254,-0.11575052467689595
ENSG00000004939,0.0,0.0,0.0
ENSG00000004961,2.6925389802478366,2.5931036476374714,-0.09943533261036519
ENSG00000004975,5.500738019537482,5.430053716420781,-0.0706843031167006
ENSG00000005007,7.054785131223111,7.209711603785348,0.15492647256223702
ENSG00000005020,3.2384387780155057,4.217338894270789,0.9789001162552831
ENSG00000005022,6.995567064913639,6.932854214475417,-0.06271285043822239
ENSG00000005059,7.09935369411428,6.581631991782177,-0.5177217023321026
ENSG00000005075,4.764339994903038,4.693235973259865,-0.07110402164317264
ENSG00000005100,4.730415738126675,4.644215760844732,-0.08619997728194306
ENSG00000005156,4.822893930555011,4.681586712160206,-0.14130721839480564
ENSG00000005175,4.651592893690589,4.1554230454282,-0.4961698482623893
ENSG00000005194,4.978733709019737,5.017261366142481,0.038527657122743975
ENSG00000005206,6.5435753932019285,6.634287983726585,0.09071259052465663
ENSG00000005238,3.513475449223049,3.943547945688182,0.430072496465133
ENSG00000005249,1.1347603789238447,1.2596587360942013,0.12489835717035658
ENSG00000005302,7.7993602353471925,7.563836475562079,-0.23552375978511364
ENSG00000005339,8.28067793526862,8.446191781095921,0.16551384582730044
ENSG00000005379,5.359365156285475,7.038118476257043,1.6787533199715678
ENSG00000005381,0.15054873079388234,0.8917801077335937,0.7412313769397114
ENSG00000005436,4.867747105552714,4.6856344583399965,-0.18211264721271725
ENSG00000005448,4.685617096340777,4.915151779296258,0.22953468295548074
ENSG00000005469,4.045060763241676,3.8827836077423954,-0.162277155499281
ENSG00000005471,0.0,0.06058572324783097,0.06058572324783097
ENSG00000005483,8.370009380504356,8.436433383901242,0.06642400339688592
ENSG00000005486,6.3767981799539,6.35196311551328,-0.024835064440619448
ENSG00000005700,5.712805388452691,5.522956715072718,-0.1898486733799727
ENSG00000005801,5.034216814060818,5.109025866750015,0.07480905268919713
ENSG00000005810,7.869558438194386,7.710969326873863,-0.15858911132052356
